date,name,ascent_type,grade,angle,style,key
2021-01-01,Straight Outta Compton,Redpoint,5.12d,Roof,Compression,2f87fbe1-444a-4f8a-ae9e-ef3885dff297
2021-01-02,Jesus Wept,Redpoint,5.12d,Overhang,Pockets,91cd2394-ea7c-4f86-9aa9-76969abae04d
2021-01-03,Zen and the Art of Masturbation,Redpoint,5.12d,Vertical,Crimps,067aa8ea-ef7f-4811-a710-766597b55482
2021-01-04,Space Lord,Redpoint,5.12c,Overhang,Jugs,46d9cb88-a5ee-4165-aa64-912c2adf2d45
2021-01-05,Heart Shaped Box,Redpoint,5.12c,Vertical,Crimps,cef536ef-85a2-4169-a99a-22291c430fdf
2021-01-06,Belly of the Beast,Redpoint,5.12c,Overhang,Jugs,7ff0d0e4-11da-4785-ba18-0f1e03664cb4
2021-01-07,Cell Block Six,Redpoint,5.12c,Overhang,Jugs,f33c0dd5-e20a-4485-ba52-505891f33958
2021-01-08,Mosaic,Redpoint,5.12c,Overhang,Jugs,316f6cf0-9a7b-4bf1-9db3-9b1f75ed0d5c
2021-01-10,Batarang,Redpoint,5.12b,Vertical,Crimps,9960d1ec-6470-4b25-b6e1-cfafc3ae91d0
2021-01-11,Charro,Redpoint,5.12b,Vertical,Crimps,e5c1249d-a0c7-4611-8f2e-c4fa86bfbb5f
2021-01-12,Bullet the New Sky,Onsight,5.12b,Vertical,Incuts,ce7b2228-03e3-4975-aa01-cc0489143b36
2021-01-13,Babyface,Redpoint,5.12b,Overhang,Jugs,03d52ed1-ea35-4528-aeab-5aaa533bb55f
2021-01-14,Far from God,Onsight,5.12b,Overhang,Jugs,1c8fa64a-1fe3-4ce9-8947-fea41a5e61b3
2021-01-15,Bullfighter,Redpoint,5.12b,Overhang,Crimps,4ecd679c-4c96-4ac8-9e70-c30e16bb9c83
2021-01-16,This is the City,Redpoint,5.12a,Overhang,Crimps,0e0fd219-4023-4ceb-a713-99ea35c69fc6
2021-01-17,Where Egos Dare,Redpoint,5.12a,Vertical,Jam,59eae9e7-dfb7-4b93-beaa-5f3f009d8277
2021-01-18,Honey Bucket,Redpoint,5.12a,Overhang,Jugs,29c06c42-3ee6-47d6-a3df-224f0e517c90
2021-01-19,49,Redpoint,5.12a,Overhang,Jugs,ead12e79-1b34-4271-b7f2-99812a8c4ee4
2021-01-20,Hot Tamale Baby,Redpoint,5.12a,Overhang,Jugs,77c5b23d-b5ab-467a-ad56-6c8cb6161a0f
2021-01-21,Twinkie,Onsight,5.12a,Overhang,Jugs,dba66649-2006-43f6-bdbe-7ddbf8f7afb3
2021-01-22,Starry,Onsight,5.12a,Overhang,Jugs,595c9f30-f271-4283-9418-1237d4a918e4
2021-01-23,Schneezal,Onsight,5.12a,Vertical,Crimps,0b4ca07b-2b2c-42f2-a315-86fd58113725
2021-01-24,Crumblies,Onsight,5.12a,Overhang,Jugs,caae1671-95d1-463f-81e6-6b4b53e7046c
2021-01-25,Posse Whipped,Onsight,5.12a,Vertical,Crimps,cbf3f0a5-b508-4650-ab72-0973ba9089e3
2021-01-26,The Serf P1,Onsight,5.11d,Vertical,Crimps,d17cba02-3897-469b-8e13-f0a26034494c
2021-01-27,Annunaki,Redpoint,5.11d,Overhang,Jam,d453f29a-db67-4414-880f-bd0f1ce20139
2021-01-29,Lunchables,Onsight,5.11d,Overhang,Jugs,721ae5c4-b2f1-4ac7-8dce-cef5ef26c856
2021-01-30,Return of Chris Snyder,Onsight,5.11d,Overhang,Jugs,0e586c5d-765a-4da7-b60c-121caa32a8a7
2021-01-31,Toxic Hueco,Redpoint,5.11d,Vertical,Crimps,e80fd512-a438-4a3d-bb79-fe9c521d8cbb
2021-02-02,Happy Fisherman,Onsight,5.11d,Vertical,Crimps,d8552085-5061-4d8a-98f0-e51846bc7745
2021-02-03,Gold Rush,Onsight,5.11d,Overhang,Incuts,1858ddad-3fce-4d4b-9921-972b98c99176
2021-02-27,Big Iron on His Hip,Redpoint,v7,Slab,Crimps,0bb693fa-d24b-4bfa-8663-616d3c65829b
2020-11-25,Bathtub,Redpoint,v5,Slab,Crimps,5d039a72-0b9e-4a87-9970-362c291c4fd5
2021-12-04,Sonic Youth,Onsight,5.11d,Overhang,Crimps,10c7266f-f227-4a0c-a7e1-5a8862b41bd4
2021-08-22,Dr Goodkind,Onsight,5.12a,Overhang,Jugs,03e98a04-91ac-4374-8fc5-aba008e8a862
2021-12-09,Jones'n,Redpoint,v5,Vertical,Compression,f0a7c72f-f1f9-452b-8cb6-14e5e7b95625
2021-12-09,Rail to Seam,Onsight,v4,Vertical,Incuts,c4eaf15e-45da-4fd4-a04d-85aa89f6c8b3
2022-01-01,Dusty Coffee,Redpoint,v6,Vertical,All,9a72a73b-92c8-4dad-8726-4a2a7f107b45
2022-01-24,Orange Top Blue Sky,Redpoint,v8,Overhang,Crimps,3a39e555-2b11-4ed3-8f70-b2111f962809
2022-02-05,The Clapper,Redpoint,v6,Vertical,Pinch,efdc4d46-fe1d-4ba2-9a4b-b2c55e338530
2022-02-06,Smooth Shrip,Onsight,v6,Vertical,Crimps,d9f8f579-2e04-4083-af70-de25aaa82f84
2022-02-11,Paper Crane,Redpoint,v8,Vertical,Compression,ff54ff95-bd77-45de-ac7e-560a0a57822d
2022-04-02,Sacrificial Lizard,Onsight,5.11b,Vertical,Crimps,0f622b1c-fe79-4c97-a52a-59086c2f79c8
2022-04-09,Heretic Wisdom,Onsight,5.12a,Vertical,Crimps,c47dc736-d321-4a6a-9150-13a69f434bd2
2022-04-10,The Frog,Onsight,5.12a,Vertical,Crimps,6906c651-78eb-49fd-bfbc-fcb88e6068e1
2022-04-24,The Sadness,Onsight,5.12a,Vertical,Crimps,0c9ff3a2-4f61-43dd-8536-34cf9e898b99
2021-01-28,Wake and Bake,Redpoint,5.11d,Overhang,Jugs,6e5ab400-e7a0-4786-a7d1-c062103949e0
